time_ns,clock,v,ve,p_bits,p_dec,pe_bits,pe_dec,b,error,stage_valid
0,1,0,0,xxxxx,,xxxxx,,0,0,warmup
50,0,0,1,xxxxx,,00000,0,1@0,0,warmup
100,1,0,1,xxxxx,,00000,0,1@0,0,warmup
150,0,0,1,xxxxx,,00001,1,1@1,0,warmup
200,1,0,1,xxxxx,,00001,1,1@1,0,warmup
250,0,0,1,xxxxx,,00010,2,1@2,0,warmup
300,1,0,1,xxxxx,,00010,2,1@2,0,warmup
350,0,0,1,xxxxx,,00011,3,1@3,0,warmup
400,1,0,1,xxxxx,,00011,3,1@3,0,warmup
450,0,0,1,xxxxx,,00100,4,1@4,0,warmup
500,1,1,1,00000,0,00100,4,1@4,0,valid
550,0,1,1,00000,0,00101,5,1@5,0,valid
600,1,1,1,00001,1,00101,5,1@5,0,valid
650,0,1,1,00001,1,00110,6,1@6,0,valid
700,1,1,1,00010,2,00110,6,1@6,0,valid
750,0,1,1,00010,2,00111,7,1@7,0,valid
800,1,1,1,00011,3,00111,7,1@7,0,valid
850,0,1,1,00011,3,01000,8,1@8,0,valid
900,1,1,1,00100,4,01000,8,1@8,0,valid
950,0,1,1,00100,4,01001,9,1@9,0,valid
1000,1,1,1,00101,5,01001,9,1@9,0,valid
1050,0,1,1,00101,5,01010,10,1@10,0,valid
1100,1,1,1,00110,6,01010,10,1@10,0,valid
1150,0,1,1,00110,6,01011,11,1@11,0,valid
1200,1,1,1,00111,7,01011,11,1@11,0,valid
1250,0,1,1,00111,7,01100,12,1@12,0,valid
1300,1,1,1,01000,8,01100,12,1@12,0,valid
1350,0,1,1,01000,8,01101,13,1@13,0,valid
1400,1,1,1,01001,9,01101,13,1@13,0,valid
1450,0,1,1,01001,9,01110,14,1@14,0,valid
1500,1,1,1,01010,10,01110,14,1@14,0,valid
1550,0,1,1,01010,10,01111,15,1@15,0,valid
1600,1,1,1,01011,11,01111,15,1@15,0,valid
1650,0,1,1,01011,11,10000,16,1@16,0,valid
1700,1,1,1,01100,12,10000,16,1@16,0,valid
1750,0,1,1,01100,12,10001,17,1@17,0,valid
1800,1,1,1,01101,13,10001,17,1@17,0,valid
1850,0,1,1,01101,13,10010,18,1@18,0,valid
1900,1,1,1,01110,14,10010,18,1@18,0,valid
1950,0,1,1,01110,14,10011,19,1@19,0,valid
2000,1,1,1,01111,15,10011,19,1@19,0,valid
2050,0,1,1,01111,15,10100,20,1@20,0,valid
2100,1,1,1,10000,16,10100,20,1@20,0,valid
2150,0,1,1,10000,16,10101,21,1@21,0,valid
2200,1,1,1,10001,17,10101,21,1@21,0,valid
2250,0,1,1,10001,17,10110,22,1@22,0,valid
2300,1,1,1,10010,18,10110,22,1@22,0,valid
2350,0,1,1,10010,18,10111,23,1@23,0,valid
2400,1,1,1,10011,19,10111,23,1@23,0,valid
2450,0,1,1,10011,19,11000,24,1@24,0,valid
2500,1,1,1,10100,20,11000,24,1@24,0,valid
2550,0,1,1,10100,20,11001,25,1@25,0,valid
2600,1,1,1,10101,21,11001,25,1@25,0,valid
2650,0,1,1,10101,21,11010,26,1@26,0,valid
2700,1,1,1,10110,22,11010,26,1@26,0,valid
2750,0,1,1,10110,22,11011,27,1@27,0,valid
2800,1,1,1,10111,23,11011,27,1@27,0,valid
2850,0,1,1,10111,23,11100,28,1@28,0,valid
2900,1,1,1,11000,24,11100,28,1@28,0,valid
2950,0,1,1,11000,24,11101,29,1@29,0,valid
3000,1,1,1,11001,25,11101,29,1@29,0,valid
3050,0,1,1,11001,25,11110,30,1@30,0,valid
3100,1,1,1,11010,26,11110,30,1@30,0,valid
3150,0,1,1,11010,26,11111,31,1@31,0,valid
3200,1,1,1,11011,27,11111,31,1@31,0,valid
3250,0,1,0,11011,27,11111,31,0,0,valid
3300,1,1,0,11100,28,11111,31,0,0,valid
3350,0,1,0,11100,28,11111,31,0,0,valid
3400,1,1,0,11101,29,11111,31,0,0,valid
3450,0,1,0,11101,29,11111,31,0,0,valid
3500,1,1,0,11110,30,11111,31,0,0,valid
3550,0,1,0,11110,30,11111,31,0,0,valid
3600,1,1,0,11111,31,11111,31,0,0,valid
3650,0,1,0,11111,31,11111,31,0,0,valid
3700,1,0,0,11111,31,11111,31,0,0,valid
3750,0,0,0,11111,31,11111,31,0,0,valid
3800,1,0,0,11111,31,11111,31,0,0,valid
3850,0,0,0,11111,31,11111,31,0,0,valid
