time,check,sensors,case_code,case_name,ml,mr,in_motion,error,expected,match
1,1,0,0,lost,0,0,0,1,1,1
3,2,1,4,right,1,0,1,0,10,1
5,3,2,4,right,1,0,1,0,10,1
7,4,3,4,right,1,0,1,0,10,1
9,5,4,2,center,1,1,1,0,14,1
11,6,5,1,split,0,0,0,1,1,1
13,7,6,2,center,1,1,1,0,14,1
15,8,7,2,center,1,1,1,0,14,1
17,9,8,3,left,0,1,1,0,6,1
19,10,9,1,split,0,0,0,1,1,1
21,11,10,1,split,0,0,0,1,1,1
23,12,11,1,split,0,0,0,1,1,1
25,13,12,2,center,1,1,1,0,14,1
27,14,13,1,split,0,0,0,1,1,1
29,15,14,2,center,1,1,1,0,14,1
31,16,15,2,center,1,1,1,0,14,1
33,17,16,3,left,0,1,1,0,6,1
35,18,17,1,split,0,0,0,1,1,1
37,19,18,1,split,0,0,0,1,1,1
39,20,19,1,split,0,0,0,1,1,1
41,21,20,1,split,0,0,0,1,1,1
43,22,21,1,split,0,0,0,1,1,1
45,23,22,1,split,0,0,0,1,1,1
47,24,23,1,split,0,0,0,1,1,1
49,25,24,3,left,0,1,1,0,6,1
51,26,25,1,split,0,0,0,1,1,1
53,27,26,1,split,0,0,0,1,1,1
55,28,27,1,split,0,0,0,1,1,1
57,29,28,2,center,1,1,1,0,14,1
59,30,29,1,split,0,0,0,1,1,1
61,31,30,2,center,1,1,1,0,14,1
63,32,31,2,center,1,1,1,0,14,1
