time_ns,CK,CK1,CK1_b,CK2,CK2_b,start_checking,overlap,both_low
0,0,1,0,0,1,0,0,0
5,1,0,1,1,0,0,0,0
10,0,1,0,0,1,0,0,0
15,1,0,1,1,0,1,0,0
20,0,1,0,0,1,1,0,0
25,1,0,1,1,0,1,0,0
30,0,1,0,0,1,1,0,0
35,1,0,1,1,0,1,0,0
40,0,1,0,0,1,1,0,0
45,1,0,1,1,0,1,0,0
50,0,1,0,0,1,1,0,0
55,1,0,1,1,0,1,0,0
60,0,1,0,0,1,1,0,0
65,1,0,1,1,0,1,0,0
70,0,1,0,0,1,1,0,0
75,1,0,1,1,0,1,0,0
80,0,1,0,0,1,1,0,0
85,1,0,1,1,0,1,0,0
90,0,1,0,0,1,1,0,0
95,1,0,1,1,0,1,0,0
100,0,1,0,0,1,1,0,0
105,1,0,1,1,0,1,0,0
110,0,1,0,0,1,1,0,0
115,1,0,1,1,0,1,0,0
120,0,1,0,0,1,1,0,0
125,1,0,1,1,0,1,0,0
130,0,1,0,0,1,1,0,0
135,1,0,1,1,0,1,0,0
140,0,1,0,0,1,1,0,0
145,1,0,1,1,0,1,0,0
150,0,1,0,0,1,1,0,0
155,1,0,1,1,0,1,0,0
160,0,1,0,0,1,1,0,0
165,1,0,1,1,0,1,0,0
170,0,1,0,0,1,1,0,0
175,1,0,1,1,0,1,0,0
180,0,1,0,0,1,1,0,0
185,1,0,1,1,0,1,0,0
190,0,1,0,0,1,1,0,0
195,1,0,1,1,0,1,0,0
200,0,1,0,0,1,1,0,0
205,1,0,1,1,0,1,0,0
210,0,1,0,0,1,1,0,0
215,1,0,1,1,0,1,0,0
220,0,1,0,0,1,1,0,0
225,1,0,1,1,0,1,0,0
230,0,1,0,0,1,1,0,0
235,1,0,1,1,0,1,0,0
240,0,1,0,0,1,1,0,0
245,1,0,1,1,0,1,0,0
250,0,1,0,0,1,1,0,0
255,1,0,1,1,0,1,0,0
260,0,1,0,0,1,1,0,0
265,1,0,1,1,0,1,0,0
270,0,1,0,0,1,1,0,0
275,1,0,1,1,0,1,0,0
280,0,1,0,0,1,1,0,0
285,1,0,1,1,0,1,0,0
290,0,1,0,0,1,1,0,0
295,1,0,1,1,0,1,0,0
300,0,1,0,0,1,1,0,0
305,1,0,1,1,0,1,0,0
310,0,1,0,0,1,1,0,0
315,1,0,1,1,0,1,0,0
320,0,1,0,0,1,1,0,0
325,1,0,1,1,0,1,0,0
330,0,1,0,0,1,1,0,0
335,1,0,1,1,0,1,0,0
340,0,1,0,0,1,1,0,0
345,1,0,1,1,0,1,0,0
350,0,1,0,0,1,1,0,0
355,1,0,1,1,0,1,0,0
360,0,1,0,0,1,1,0,0
365,1,0,1,1,0,1,0,0
370,0,1,0,0,1,1,0,0
375,1,0,1,1,0,1,0,0
380,0,1,0,0,1,1,0,0
385,1,0,1,1,0,1,0,0
390,0,1,0,0,1,1,0,0
395,1,0,1,1,0,1,0,0
400,0,1,0,0,1,1,0,0
405,1,0,1,1,0,1,0,0
410,0,1,0,0,1,1,0,0
415,1,0,1,1,0,1,0,0
420,0,1,0,0,1,1,0,0
425,1,0,1,1,0,1,0,0
430,0,1,0,0,1,1,0,0
435,1,0,1,1,0,1,0,0
440,0,1,0,0,1,1,0,0
445,1,0,1,1,0,1,0,0
450,0,1,0,0,1,1,0,0
455,1,0,1,1,0,1,0,0
460,0,1,0,0,1,1,0,0
465,1,0,1,1,0,1,0,0
470,0,1,0,0,1,1,0,0
475,1,0,1,1,0,1,0,0
480,0,1,0,0,1,1,0,0
485,1,0,1,1,0,1,0,0
490,0,1,0,0,1,1,0,0
495,1,0,1,1,0,1,0,0
500,0,1,0,0,1,1,0,0
505,1,0,1,1,0,1,0,0
510,0,1,0,0,1,1,0,0
515,1,0,1,1,0,1,0,0
520,0,1,0,0,1,1,0,0
525,1,0,1,1,0,1,0,0
530,0,1,0,0,1,1,0,0
535,1,0,1,1,0,1,0,0
540,0,1,0,0,1,1,0,0
545,1,0,1,1,0,1,0,0
550,0,1,0,0,1,1,0,0
555,1,0,1,1,0,1,0,0
560,0,1,0,0,1,1,0,0
565,1,0,1,1,0,1,0,0
570,0,1,0,0,1,1,0,0
575,1,0,1,1,0,1,0,0
580,0,1,0,0,1,1,0,0
585,1,0,1,1,0,1,0,0
590,0,1,0,0,1,1,0,0
595,1,0,1,1,0,1,0,0
600,0,1,0,0,1,1,0,0
605,1,0,1,1,0,1,0,0
610,0,1,0,0,1,1,0,0
615,1,0,1,1,0,1,0,0
620,0,1,0,0,1,1,0,0
625,1,0,1,1,0,1,0,0
630,0,1,0,0,1,1,0,0
635,1,0,1,1,0,1,0,0
640,0,1,0,0,1,1,0,0
645,1,0,1,1,0,1,0,0
650,0,1,0,0,1,1,0,0
655,1,0,1,1,0,1,0,0
660,0,1,0,0,1,1,0,0
665,1,0,1,1,0,1,0,0
670,0,1,0,0,1,1,0,0
675,1,0,1,1,0,1,0,0
680,0,1,0,0,1,1,0,0
685,1,0,1,1,0,1,0,0
690,0,1,0,0,1,1,0,0
695,1,0,1,1,0,1,0,0
700,0,1,0,0,1,1,0,0
705,1,0,1,1,0,1,0,0
710,0,1,0,0,1,1,0,0
715,1,0,1,1,0,1,0,0
720,0,1,0,0,1,1,0,0
725,1,0,1,1,0,1,0,0
730,0,1,0,0,1,1,0,0
735,1,0,1,1,0,1,0,0
740,0,1,0,0,1,1,0,0
745,1,0,1,1,0,1,0,0
750,0,1,0,0,1,1,0,0
755,1,0,1,1,0,1,0,0
760,0,1,0,0,1,1,0,0
765,1,0,1,1,0,1,0,0
770,0,1,0,0,1,1,0,0
775,1,0,1,1,0,1,0,0
780,0,1,0,0,1,1,0,0
785,1,0,1,1,0,1,0,0
790,0,1,0,0,1,1,0,0
795,1,0,1,1,0,1,0,0
800,0,1,0,0,1,1,0,0
805,1,0,1,1,0,1,0,0
810,0,1,0,0,1,1,0,0
815,1,0,1,1,0,1,0,0
820,0,1,0,0,1,1,0,0
825,1,0,1,1,0,1,0,0
830,0,1,0,0,1,1,0,0
835,1,0,1,1,0,1,0,0
840,0,1,0,0,1,1,0,0
845,1,0,1,1,0,1,0,0
850,0,1,0,0,1,1,0,0
855,1,0,1,1,0,1,0,0
860,0,1,0,0,1,1,0,0
865,1,0,1,1,0,1,0,0
870,0,1,0,0,1,1,0,0
875,1,0,1,1,0,1,0,0
880,0,1,0,0,1,1,0,0
885,1,0,1,1,0,1,0,0
890,0,1,0,0,1,1,0,0
895,1,0,1,1,0,1,0,0
900,0,1,0,0,1,1,0,0
905,1,0,1,1,0,1,0,0
910,0,1,0,0,1,1,0,0
915,1,0,1,1,0,1,0,0
920,0,1,0,0,1,1,0,0
925,1,0,1,1,0,1,0,0
930,0,1,0,0,1,1,0,0
935,1,0,1,1,0,1,0,0
940,0,1,0,0,1,1,0,0
945,1,0,1,1,0,1,0,0
950,0,1,0,0,1,1,0,0
955,1,0,1,1,0,1,0,0
960,0,1,0,0,1,1,0,0
965,1,0,1,1,0,1,0,0
970,0,1,0,0,1,1,0,0
975,1,0,1,1,0,1,0,0
980,0,1,0,0,1,1,0,0
985,1,0,1,1,0,1,0,0
990,0,1,0,0,1,1,0,0
995,1,0,1,1,0,1,0,0
