time_ps,clk,rst_n,launch_d,min_fast_capture_d,min_fast_hold_window,min_fast_hold_violation_pulse,min_padded_capture_d,max_slow_capture_d,max_slow_setup_window,max_slow_setup_violation_pulse,max_ok_capture_d
0,0,0,0,x,0,0,x,x,0,0,x
20,0,0,0,0,0,0,x,x,0,0,x
120,0,0,0,0,0,0,0,x,0,0,x
200,0,1,0,0,0,0,0,x,0,0,x
500,1,1,0,0,1,0,0,x,0,0,x
580,1,1,0,0,0,0,0,x,0,0,x
700,1,1,0,0,0,0,0,x,0,0,0
920,1,1,0,0,0,0,0,0,0,0,0
1000,0,1,0,0,0,0,0,0,0,0,0
1100,0,1,1,0,0,0,0,0,0,0,0
1350,0,1,1,0,0,0,0,0,1,0,0
1500,1,1,1,0,1,0,0,0,0,0,0
1520,1,1,1,1,1,1,0,0,0,0,0
1521,1,1,1,1,1,0,0,0,0,0,0
1580,1,1,1,1,0,0,0,0,0,0,0
1620,1,1,1,1,0,0,1,0,0,0,0
2000,0,1,1,1,0,0,1,0,0,0,0
2100,0,1,0,1,0,0,1,0,0,0,0
2200,0,1,0,1,0,0,1,0,0,0,1
2350,0,1,0,1,0,0,1,0,1,0,1
2420,0,1,0,1,0,0,1,1,1,1,1
2421,0,1,0,1,0,0,1,1,1,0,1
2500,1,1,0,1,1,0,1,1,0,0,1
2520,1,1,0,0,1,1,1,1,0,0,1
2521,1,1,0,0,1,0,1,1,0,0,1
2580,1,1,0,0,0,0,1,1,0,0,1
2620,1,1,0,0,0,0,0,1,0,0,1
3000,0,1,0,0,0,0,0,1,0,0,1
3100,0,1,1,0,0,0,0,1,0,0,1
3200,0,1,1,0,0,0,0,1,0,0,0
3350,0,1,1,0,0,0,0,1,1,0,0
3420,0,1,1,0,0,0,0,0,1,1,0
3421,0,1,1,0,0,0,0,0,1,0,0
3500,1,1,1,0,1,0,0,0,0,0,0
3520,1,1,1,1,1,1,0,0,0,0,0
3521,1,1,1,1,1,0,0,0,0,0,0
3580,1,1,1,1,0,0,0,0,0,0,0
3620,1,1,1,1,0,0,1,0,0,0,0
4000,0,1,1,1,0,0,1,0,0,0,0
4100,0,1,0,1,0,0,1,0,0,0,0
4200,0,1,0,1,0,0,1,0,0,0,1
4350,0,1,0,1,0,0,1,0,1,0,1
4420,0,1,0,1,0,0,1,1,1,1,1
4421,0,1,0,1,0,0,1,1,1,0,1
4500,1,1,0,1,1,0,1,1,0,0,1
4520,1,1,0,0,1,1,1,1,0,0,1
4521,1,1,0,0,1,0,1,1,0,0,1
4580,1,1,0,0,0,0,1,1,0,0,1
4620,1,1,0,0,0,0,0,1,0,0,1
5000,0,1,0,0,0,0,0,1,0,0,1
5200,0,1,0,0,0,0,0,1,0,0,0
5350,0,1,0,0,0,0,0,1,1,0,0
5420,0,1,0,0,0,0,0,0,1,1,0
5421,0,1,0,0,0,0,0,0,1,0,0
5500,1,1,0,0,1,0,0,0,0,0,0
5580,1,1,0,0,0,0,0,0,0,0,0
6000,0,1,0,0,0,0,0,0,0,0,0
